0,0,71,0
103,1,70,1
201,2,69,2
305,3,68,3
411,4,67,40
504,5,66,50
615,6,65,60
704,7,64,70
811,8,63,80
912,9,62,9
1001,10,61,10
1102,11,60,11
1205,12,59,12
1303,13,58,13
1404,14,57,14
1505,15,56,15
1601,16,55,16
1707,17,54,17
1807,18,53,18
1906,19,52,19
2008,20,51,20
2109,21,50,21
2210,22,49,22
2310,23,48,23
2422,24,47,24
2512,25,46,25
2601,26,45,26
2704,27,44,27
2811,28,43,28
2913,29,42,29
3004,30,41,30
3101,31,40,31
3202,32,39,32
3304,33,38,33
3405,34,37,34
3505,35,36,35
3616,36,35,35
3705,37,34,34
3814,38,33,33
3905,39,32,32
4006,40,31,31
4107,41,30,30
4207,42,29,29
4314,43,28,28
4415,44,27,27
4500,45,26,26
4604,46,25,25
4703,47,24,24
4804,48,23,23
4909,49,22,22
5011,50,21,21
0
